#,Country,iso_code,Total_Cases,"New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
154,Aruba,ABW,10969.0,,107,,10790,72,14,102345,998,164095,1531065,107177
103,Afghanistan,AFG,70111.0,,2899,,57119,10093,1124,1765,73,462860,11654,39717807
118,Angola,AGO,33944.0,,749,,27577,5618,19,1005,22,569993,16872,33784208
207,Anguilla,AIA,109.0,,,,109,0,,7207,,22201,1467932,15124
88,Albania,ALB,132285.0,,2448,,129097,740,18,46013,851,710160,247017,2874947
142,Andola,AND,13693.0,,127,,13416,150,12,176965,1641,193595,2501971,77377
9,Argentina,ARG,3702422.0,,76693,,3252843,372886,6872,81245,1683,13682632,300250,45570832
74,Armenia,ARM,222513.0,,4423,,212566,5524,,74964,1490,1075450,362316,2968262
194,Antigua and Barbuda,ATG,1259.0,,42,,1206,11,,12761,426,16700,169265,98662
122,Australia,AUS,30082.0,9,910,,29066,106,1,1167,35,18241244,707923,25767255
38,Austria,AUT,643709.0,,10588,,626815,6306,175,71105,1170,40789126,4505633,9052918
57,Azerbaijan,AZE,333559.0,,4896,,323198,5465,,32632,479,3496635,342075,10221829
72,Bahrain,BHR,232425.0,,923,,203429,28073,258,132465,526,4589012,2615398,1754613
33,Bangladesh,BGD,796343.0,,12511,,736221,47611,1109,4792,75,5901874,35516,166172855
176,Barbados,BRB,4009.0,,47,,3922,40,,13935,163,168904,587096,287694
48,Belarus,BLR,391637.0,,2821,,382167,6649,,41458,299,6286097,665442,9446505
28,Belgium,BEL,1057903.0,2360,24910,8,951215,81778,491,90922,2141,13852116,1190525,11635300
146,Belize,BLZ,12791.0,,324,,12378,89,2,31650,802,132451,327738,404137
158,Benin,BEN,8058.0,,101,,7893,64,5,649,8,604310,48700,12408783
182,Bermuda,BMU,2491.0,,32,,2423,36,7,40133,516,267584,4311073,62069
150,Bahamas,BHS,11684.0,,229,,10503,952,8,29457,577,96400,243040,396642
192,Bhutan,BTN,1503.0,,1,,1241,261,,1929,1,798573,1024748,779287
52,Bolivia,BOL,364570.0,2990,14377,65,289809,60384,200,30852,1217,1452303,122901,11816823
77,Bosnia and Herzegovina,BIH,203839.0,,9211,,174236,20392,,62483,2823,972590,298131,3262289
109,Botswana,BWA,53771.0,,831,,50494,2446,1,22457,347,1143453,477550,2394417
3,Brazil,BRA,16392657.0,,459171,,14811266,1122220,8318,76627,2146,49076549,229408,213926682
202,British Virgin Islands,BVI,248.0,,1,,209,38,,8154,33,39777,1307895,30413
203,Brunei,BRN,241.0,,3,,228,10,,546,7,126634,286978,441267
46,Bulgaria,BGR,418106.0,,17652,,380254,20200,367,60587,2558,2808798,407017,6900936
144,Burkina Faso,BFA,13424.0,,166,,13248,10,,627,8,187240,8742,21418561
171,Burundi,BDI,4669.0,,6,,773,3890,,382,0.5,309390,25341,12208897
121,Cabo Verde,CPV,30122.0,,261,,28163,1698,23,53651,465,160181,285301,561445
123,Cambodia,KHM,28825.0,588,203,7,21315,7307,,1703,12,1148564,67850,16927916
99,Cameroon,CMR,77982.0,,1270,,72926,3786,385,2873,47,1644460,60591,27140414
22,Canada,CAN,1374275.0,,25440,,1308932,39903,1122,36126,669,34550157,908224,38041454
161,Central African Republic,CAF,7085.0,,98,,6665,322,2,1444,20,54522,11114,4905513
190,Caribbean Netherlands,CND,1612.0,,17,,1579,16,,60961,643,8550,323337,26443
198,Cayman Islands,CYM,581.0,,2,,564,15,,8747,30,96845,1458092,66419
170,Chad,TCD,4927.0,,173,,4742,12,,292,10,119517,7093,16849408
174,Channel Islands,CHI,4065.0,,86,,3956,23,,23187,491,454413,2592025,175312
23,Chile,CHL,1361381.0,,28928,,1287804,44649,3067,70667,1502,14601545,757946,19264623
98,China,CHN,91061.0,16,4636,,86107,318,4,63,3,160000000,111163,1439323776
12,Colombia,COL,3342567.0,,87207,,3121888,133472,6582,65064,1698,16792539,326874,51373140
177,Comoros,COM,3879.0,,146,,3716,17,,4377,165,,,886288
151,Congo,COD,11658.0,,153,,8208,3297,,2067,27,141948,25167,5640306
58,Costa Rica,CRI,314102.0,,3962,,242019,68121,527,61155,771,1193313,232334,5136186
53,Croatia,HRV,355617.0,,7992,,344899,2726,95,87112,1958,1999818,489878,4082280
86,Cuba,CUB,138899.0,,933,,131461,6505,132,12270,82,4260156,376327,11320347
147,Curaçao,CUW,12271.0,,122,,12104,45,12,74505,741,108037,655958,164701
101,Cyprus,CYP,72307.0,,360,,68409,3538,31,59497,296,6528854,5372163,1215312
19,Czechia,CZE,1660481.0,,30088,,1615008,15385,123,154795,2805,23993336,2236727,10726985
63,Denmark,DNK,278396.0,,2512,,262748,13136,22,47911,432,54031318,9298625,5810678
196,Diamond Princess,DPS,712.0,,13,,699,0,,,,,,
152,Djibouti,DJI,11523.0,,153,,11354,16,,11512,153,157734,157581,1000972
204,Dominica,DMA,188.0,,,,182,6,,2606,,16662,230942,72148
61,Dominican Republic,DOM,289288.0,,3623,,238615,47050,376,26428,331,1535724,140297,10946263
119,DRC,DRC,31386.0,,782,,27654,2950,,341,8,159469,1733,92006716
90,Algeria,DZA,128198.0,,3455,,89232,35511,26,2877,78,230861,5180,44565141
